FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Confidence in Policing,Type Of Tenure,Household Type,Gender,Limiting Long-term Physical or Mental Health Condition,Policing Role
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,75.5,Very or fairly confident,All,Pensioners,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,15.53,Not very or not at all confident,All,With Children,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,65.9,Very or fairly confident,All,Pensioners,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,14.37,Not very or not at all confident,All,Pensioners,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,74.43,Very or fairly confident,Rented,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,11.34,Not very or not at all confident,Rented,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,18.57,Not very or not at all confident,All,Pensioners,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.16,Not very or not at all confident,All,All,Female,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,56.16,Very or fairly confident,All,All,Female,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,66.67,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,73.13,Very or fairly confident,All,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,59.52,Very or fairly confident,All,All,Male,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,27.12,Not very or not at all confident,All,All,Male,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,52.31,Very or fairly confident,All,All,Female,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,70.53,Very or fairly confident,All,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,18.25,Not very or not at all confident,All,All,Female,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,67.93,Very or fairly confident,All,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,75.3,Very or fairly confident,Owned Outright,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,71.12,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,21.34,Not very or not at all confident,All,All,Female,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,65.11,Very or fairly confident,All,With Children,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,20.68,Not very or not at all confident,All,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,37.31,Not very or not at all confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,55.39,Very or fairly confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,66.39,Very or fairly confident,All,All,All,Limiting condition,Catch criminals
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,28.75,Not very or not at all confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,69.41,Very or fairly confident,Rented,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,16.94,Not very or not at all confident,All,All,Female,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,25.18,Not very or not at all confident,All,All,All,Limiting condition,Catch criminals
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,63.31,Very or fairly confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,31.4,Not very or not at all confident,All,All,All,Limiting condition,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,21.66,Not very or not at all confident,All,With Children,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,59.64,Very or fairly confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,37.62,Not very or not at all confident,All,All,All,Limiting condition,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.71,Not very or not at all confident,All,With Children,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,14.7,Not very or not at all confident,Rented,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,20.78,Not very or not at all confident,All,All,All,No limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,66.3,Very or fairly confident,All,All,Female,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,57.48,Very or fairly confident,All,All,Female,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,23.89,Not very or not at all confident,All,All,Male,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,61.89,Very or fairly confident,All,All,Female,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,27.8,Not very or not at all confident,All,All,Male,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,33.03,Not very or not at all confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,57.26,Very or fairly confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,20.47,Not very or not at all confident,All,All,Female,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,51.22,Very or fairly confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,63.89,Very or fairly confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,23.17,Not very or not at all confident,All,All,Female,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,27.6,Not very or not at all confident,All,With Children,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.68,Not very or not at all confident,All,With Children,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,22.52,Not very or not at all confident,All,Adults,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,45.71,Very or fairly confident,All,All,All,Limiting condition,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,52.51,Very or fairly confident,All,All,All,Limiting condition,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,75.7,Very or fairly confident,All,With Children,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.51,Not very or not at all confident,All,Adults,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,28.23,Not very or not at all confident,Owned Outright,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,54.71,Very or fairly confident,Rented,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,59.32,Very or fairly confident,All,All,All,Limiting condition,Catch criminals
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,64.32,Very or fairly confident,Rented,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,36.44,Not very or not at all confident,All,All,All,Limiting condition,Catch criminals
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,29.85,Not very or not at all confident,Rented,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,25.19,Not very or not at all confident,Rented,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,58.97,Very or fairly confident,All,All,All,No limiting condition,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,23.32,Not very or not at all confident,Owned Outright,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,62.59,Very or fairly confident,All,With Children,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,17.05,Not very or not at all confident,All,Pensioners,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.41,Not very or not at all confident,Owned Outright,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,67.91,Very or fairly confident,All,Pensioners,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,62.48,Very or fairly confident,All,Pensioners,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,69.14,Very or fairly confident,All,With Children,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,30.71,Not very or not at all confident,All,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,23.63,Not very or not at all confident,All,With Children,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,57.25,Very or fairly confident,All,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,64.18,Very or fairly confident,All,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,73.35,Very or fairly confident,All,Pensioners,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,21.88,Not very or not at all confident,All,Pensioners,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,17.59,Not very or not at all confident,All,With Children,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,17.11,Not very or not at all confident,All,All,Male,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,24.01,Not very or not at all confident,All,All,Female,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,43.01,Not very or not at all confident,All,All,All,Limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,24.69,Not very or not at all confident,All,All,Male,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,73.7,Very or fairly confident,All,All,Female,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,56.39,Very or fairly confident,All,Pensioners,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,69.44,Very or fairly confident,All,All,Female,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,13.83,Not very or not at all confident,Rented,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,52.1,Very or fairly confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,29.52,Not very or not at all confident,All,Pensioners,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,40.1,Not very or not at all confident,All,Pensioners,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,65.17,Very or fairly confident,All,All,Female,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,65.89,Very or fairly confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,59,Very or fairly confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,55.79,Very or fairly confident,All,All,All,Limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,36.16,Not very or not at all confident,All,All,All,Limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,33.09,Not very or not at all confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,29.31,Not very or not at all confident,All,All,All,Limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,62.83,Very or fairly confident,All,All,All,Limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,69.7,Very or fairly confident,All,All,Male,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,48.75,Very or fairly confident,All,All,All,Limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,50.94,Very or fairly confident,All,Pensioners,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,61.85,Very or fairly confident,All,Pensioners,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,39.3,Not very or not at all confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,24,Not very or not at all confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,64.59,Very or fairly confident,Rented,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,28.54,Not very or not at all confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,59.77,Very or fairly confident,Rented,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,63.83,Very or fairly confident,All,All,Male,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,54.65,Very or fairly confident,All,All,Male,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.61,Not very or not at all confident,All,All,All,No limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,18.2,Not very or not at all confident,All,All,All,No limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,20.9,Not very or not at all confident,All,All,Male,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,68.76,Very or fairly confident,All,All,Male,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,17.67,Not very or not at all confident,Rented,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,59.24,Very or fairly confident,All,All,Male,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,18.06,Not very or not at all confident,Rented,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,26.88,Not very or not at all confident,All,All,Female,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.46,Not very or not at all confident,All,All,Female,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,53.69,Very or fairly confident,All,All,All,Limiting condition,Catch criminals
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,60.04,Very or fairly confident,All,All,All,Limiting condition,Catch criminals
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,11.34,Not very or not at all confident,Rented,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,25.64,Not very or not at all confident,All,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,21.5,Not very or not at all confident,Rented,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,73.26,Very or fairly confident,All,All,All,No limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,28.47,Not very or not at all confident,All,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,57.82,Very or fairly confident,All,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,34.81,Not very or not at all confident,All,Pensioners,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,63.83,Very or fairly confident,All,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,64.43,Very or fairly confident,All,All,Male,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,76.14,Very or fairly confident,All,All,All,No limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,73.08,Very or fairly confident,All,All,Male,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,70.38,Very or fairly confident,All,All,All,No limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,33.61,Not very or not at all confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,27.92,Not very or not at all confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,12.27,Not very or not at all confident,All,All,Female,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,23.5,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,68.58,Very or fairly confident,All,All,Female,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,72.23,Very or fairly confident,All,All,Female,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,60.12,Very or fairly confident,Owned Outright,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,55.08,Very or fairly confident,Owned Outright,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,64.92,Very or fairly confident,All,All,Female,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,60.32,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,28.2,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,63.45,Very or fairly confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,59.25,Very or fairly confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,27.7,Not very or not at all confident,Rented,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,70.35,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,32.9,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,30.92,Not very or not at all confident,All,Pensioners,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,31.44,Not very or not at all confident,Owned Outright,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,66.89,Very or fairly confident,All,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,36.19,Not very or not at all confident,All,Pensioners,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,49.9,Very or fairly confident,All,Pensioners,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,65.33,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,60.52,Very or fairly confident,All,Pensioners,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,24.09,Not very or not at all confident,All,All,All,Limiting condition,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,65.95,Very or fairly confident,All,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,69.71,Very or fairly confident,All,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,37.28,Not very or not at all confident,All,All,All,Limiting condition,Catch criminals
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,26.4,Not very or not at all confident,All,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,69.11,Very or fairly confident,All,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,72.27,Very or fairly confident,All,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,65.34,Very or fairly confident,All,All,Female,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,25.33,Not very or not at all confident,All,All,Male,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,71.75,Very or fairly confident,All,All,Male,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,69.39,Very or fairly confident,All,All,Female,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,69.29,Very or fairly confident,All,All,Female,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,15.79,Not very or not at all confident,All,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,13.55,Not very or not at all confident,All,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.6,Not very or not at all confident,All,All,Female,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,22.05,Not very or not at all confident,All,All,Female,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,19.07,Not very or not at all confident,All,All,Male,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,13.08,Not very or not at all confident,All,All,Male,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,16.08,Not very or not at all confident,All,All,Male,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,65.71,Very or fairly confident,All,All,Female,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,42.21,Not very or not at all confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,15.29,Not very or not at all confident,All,All,Female,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,61.78,Very or fairly confident,All,All,All,No limiting condition,Catch criminals
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,32.47,Not very or not at all confident,Rented,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,58.42,Very or fairly confident,All,All,All,No limiting condition,Catch criminals
